Мастер и Маргарита
Собачье сердце
Мёртвые души
Евгений Онегин
Преступление и наказание
Война и мир
Повести Белкина
Село Степанчиково и его обитатели
Ревизор
Отцы и дети
Палата № 6
Братья Карамазовы
Идиот
Горе от ума
Униженные и оскорблённые
Капитанская дочка
Воскресение
Рассказы
А зори здесь тихие
Анна Каренина
Герой нашего времени
Руслан и Людмила
Бесы
Тихий Дон
Обломов
