Fahrenheit 451
The Paying Guests
Jane Eyre
Watership Down
Lord of the Flies
Americanah
A Town Like Alice
The Vegetarian
The Adventures of Huckleberry Finn
Anne of Green Gables
Adventures of Sherlock Holmes
The Alchemist
The Color Purple
All Quiet on the Western Front
Frankenstein
