Ray Bradbury
Sarah Waters
Charlotte Bronte
Richard Adams
William Golding
Chimamanda Ngozi Adichie
Nevil Shute
Han Kang
Mark Twain
Lucy Maud Montgomery
Arthur Conan Doyle
Paulo Coelho
Alice Walker
Erich Maria Remarque
Mary Shelley
