Реакторное материаловедение
Физика конденсированного состояния
Основы технологии получения материалов
Современная порошковая металлургия
Теория и технология консолидации порошков
Первопринципные расчеты в физике конденсированного состояния
Экспериментальные методы материаловедения
История атомной науки и техники
Современные представления о структуре материалов
Современные методы исследования состояния материалов
Конструкционные и функциональные материалы
Материаловедение ядерных энергетических установок
Специальные главы физики твердого тела
Специальные вопросы материаловедения ТЯР
Основы вакуумной техники
Физика прочности и механические свойства материалов
Модифицирование материалов
Специальные вопросы радиационного материаловедения
Материалы перспективных ядерных реакторов
Физическое материаловедение
