Cryptonomicon
Fundamentals of Software Architecture: An Engineering Approach
Software Design by Example: A Tool-Based Introduction with JavaScript
Elegant Objects
Introduction to Algorithms
Code Ahead
The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World
Clean Architecture
The IBM Rational Unified Process for System Z
97 Things Every Programmer Should Know: Collective Wisdom from the Experts
PMP Exam Prep, Sixth Edition: Rita's Course in a Book for Passing the PMP Exam
Clean Code: A Handbook of Agile Software Craftsmanship
Digital Image Processing
Working Effectively with Legacy Code
Linux Kernel Development
